Date,Total NAV,NAV,Sell NAV,Buy NAV,Change
2021-03-18,4317561581.94,19.0444,19.0445,19.0444,-0.0095
2021-03-19,4294122324.63,18.9087,18.9088,18.9087,-0.1357
2021-03-22,4348477916.34,19.1254,19.1255,19.1254,0.2167
2021-03-23,4324747598.87,18.9704,18.9705,18.9704,-0.155
2021-03-24,4306694213.17,18.8676,18.8677,18.8676,-0.1028
2021-03-25,4277446175.79,18.7172,18.7173,18.7172,-0.1504
2021-03-26,4341753834.69,18.9701,18.9702,18.9701,0.2529
2021-03-29,4376890589.41,19.1154,19.1155,19.1154,0.1453
2021-03-30,4365812702.78,19.0499,19.05,19.0499,-0.0655
2021-03-31,4407564373.7,19.2209,19.221,19.2209,0.171
2021-04-01,4467282891.54,19.4936,19.4937,19.4936,0.2727
2021-04-05,4565978849.67,19.9113,19.9114,19.9113,0.3435
2021-04-07,4566564877.72,19.8536,19.8537,19.8536,-0.0577
2021-04-08,4591324689.46,19.951,19.9511,19.951,0.0974
2021-04-09,4599320737.44,19.9652,19.9653,19.9652,0.0142
2021-04-12,4604172958.4,19.9645,19.9646,19.9645,-0.0007
2021-04-16,4645454811.66,20.0992,20.0993,20.0992,0.1347
2021-04-19,4625243737.85,19.9553,19.9554,19.9553,-0.1439
2021-04-20,4586117094.98,19.7503,19.7504,19.7503,-0.205
2021-04-21,4632020259.69,19.9232,19.9233,19.9232,0.1729
2021-04-22,4668103604.18,20.0516,20.0517,20.0516,0.1284
2021-04-23,4683395058.56,20.095,20.0951,20.095,0.0434
2021-04-26,4715577890.8,20.2214,20.2215,20.2214,0.1264
2021-04-27,4701770155.76,20.1467,20.1468,20.1467,-0.0747
2021-04-28,4687446267.74,20.0578,20.0579,20.0578,-0.0889
2021-04-29,4660063411.51,19.91,19.9101,19.91,-0.1478
2021-04-30,4642604676.87,19.802,19.8021,19.802,-0.108
2021-05-05,4593932184.46,19.554,19.5541,19.554,-0.248
2021-05-06,4615108843.78,19.5663,19.5664,19.5663,0.0123
2021-05-07,4695046187.13,19.8713,19.8714,19.8713,0.305
2021-05-10,4634869078.74,19.5999,19.6,19.5999,-0.2714
2021-05-11,4555835350.02,19.2413,19.2414,19.2413,-0.3586
2021-05-12,4475104958.86,18.8895,18.8896,18.8895,-0.3518
2021-05-13,4503012038.08,19.0108,19.0109,19.0108,0.1213
2021-05-14,4592768123.58,19.3799,19.38,19.3799,0.3691
2021-05-17,4563139388.57,19.2525,19.2526,19.2525,-0.1274
2021-05-18,4600851496.96,19.406,19.4061,19.406,0.1535
2021-05-19,4555665379.62,19.2065,19.2066,19.2065,-0.1995
2021-05-20,4656384039.62,19.6318,19.6319,19.6318,0.4253
2021-05-21,4640292088.14,19.5585,19.5586,19.5585,-0.0733
2021-05-24,4697637160.19,19.7816,19.7817,19.7816,0.2231
2021-05-25,4704215650.62,19.8092,19.8093,19.8092,0.0276
2021-05-27,4721538786.84,19.8577,19.8578,19.8577,0.0485
2021-05-28,4743554773.67,19.9218,19.9219,19.9218,0.0641
2021-06-01,4731805771.98,19.8302,19.8303,19.8302,-0.0282
2021-06-02,4759319373.08,19.8864,19.8865,19.8864,0.0562
2021-06-04,4776251716.67,19.9649,19.965,19.9649,0.0785
2021-06-07,4774934366.79,19.9294,19.9295,19.9294,-0.0355
2021-06-08,4789427297.51,19.9552,19.9553,19.9552,0.0258
2021-06-09,4790971313.17,19.9312,19.9313,19.9312,-0.024
2021-06-10,4809052975.42,19.9872,19.9873,19.9872,0.056
2021-06-11,4821804407.97,20.0084,20.0085,20.0084,0.0212
2021-06-14,4845725972.71,20.0839,20.084,20.0839,0.0755
2021-06-15,4856197123.88,20.0976,20.0977,20.0976,0.0137
2021-06-16,4863828638.13,20.1078,20.1079,20.1078,0.0102
2021-06-17,4883266558.39,20.17,20.1701,20.17,0.0622
2021-06-18,4817396412.6,19.8859,19.886,19.8859,-0.2841
2021-06-21,4868050055.77,20.0706,20.0707,20.0706,0.1847
2021-06-22,4898643774.21,20.1754,20.1755,20.1754,0.1048
2021-06-23,4935515180.24,20.3101,20.3102,20.3101,0.1347
2021-06-24,4970900736.75,20.4443,20.4444,20.4443,0.1342
2021-06-25,4976834429.07,20.4483,20.4484,20.4483,0.004
2021-06-28,5011754665.77,20.5616,20.5617,20.5616,0.1133
2021-06-29,5042446106.76,20.6546,20.6547,20.6546,0.093
2021-06-30,5048314075.59,20.6306,20.6307,20.6306,-0.024
2021-07-01,5037153813.0,20.5423,20.5424,20.5423,-0.0883
2021-07-02,5084105969.87,20.7182,20.7183,20.7182,0.1759
2021-07-06,5101101592.37,20.7314,20.7315,20.7314,-0.0566
2021-07-07,5137799203.81,20.8067,20.8068,20.8067,0.0753
2021-07-08,5104735546.73,20.6609,20.661,20.6609,-0.1458
2021-07-09,5173119611.85,20.8961,20.8962,20.8961,0.2352
2021-07-12,5189251785.78,20.936,20.9361,20.936,0.0399
2021-07-13,5229781261.58,21.066,21.0661,21.066,0.13
2021-07-14,5218616839.45,20.9969,20.997,20.9969,-0.0691
2021-07-15,5195783724.35,20.8803,20.8804,20.8803,-0.1166
2021-07-16,5187225155.38,20.8177,20.8178,20.8177,-0.0626
2021-07-19,5098067658.78,20.4395,20.4396,20.4395,-0.3782
2021-07-20,5151578890.8,20.6287,20.6288,20.6287,0.1892
2021-07-21,5204504886.14,20.8157,20.8158,20.8157,0.187
2021-07-22,5228965886.05,20.8858,20.8859,20.8858,0.0701
2021-07-23,5268482822.33,21.0292,21.0293,21.0292,0.1434
2021-07-27,5203229159.0,20.7473,20.7474,20.7473,-0.2819
2021-07-29,5303673380.14,21.1112,21.1113,21.1112,0.3639
2021-07-30,5282349125.68,20.987,20.9871,20.987,-0.1242
2021-08-02,5343309704.02,21.1716,21.1717,21.1716,0.1846
