Date,Total NAV,NAV,Sell NAV,Buy NAV,Change
2022-09-15,73389733.44,10.0341,10.0342,10.0341,-0.0743
2022-09-16,72341093.25,9.881,9.8811,9.881,-0.1531
2022-09-19,72458286.09,9.8677,9.8678,9.8677,-0.0133
2022-09-20,73130921.97,9.9025,9.9026,9.9025,0.0348
2022-09-21,73361993.01,9.8698,9.8699,9.8698,-0.0327
2022-09-22,72387667.79,9.6233,9.6234,9.6233,-0.2465
2022-09-23,71733727.48,9.4499,9.45,9.4499,-0.1734
2022-09-26,72118993.18,9.4605,9.4606,9.4605,0.0106
2022-09-27,72431492.42,9.4327,9.4328,9.4327,-0.0278
2022-09-28,74054604.07,9.5415,9.5416,9.5415,0.1088
2022-09-29,74042971.13,9.4106,9.4107,9.4106,-0.1309
2022-09-30,74518756.88,9.4259,9.426,9.4259,0.0153
2022-10-03,75587721.68,9.4625,9.4626,9.4625,0.0366
2022-10-04,79587811.39,9.799,9.7991,9.799,0.3365
2022-10-05,79211439.67,9.6856,9.6857,9.6856,-0.1134
2022-10-06,80290044.89,9.7403,9.7404,9.7403,0.0547
2022-10-07,78754351.41,9.5068,9.5069,9.5068,-0.2335
2022-10-11,77779409.93,9.2889,9.289,9.2889,-0.071
2022-10-12,77893797.46,9.2104,9.2105,9.2104,-0.0785
2022-10-17,80649078.64,9.4966,9.4967,9.4966,0.2862
2022-10-18,81546414.16,9.5172,9.5173,9.5172,0.0206
2022-10-19,82328019.93,9.5326,9.5327,9.5326,0.0154
2022-10-20,83253629.19,9.612,9.6121,9.612,0.0794
2022-10-21,83493979.0,9.5923,9.5924,9.5923,-0.0197
2022-10-25,86068069.66,9.8345,9.8346,9.8345,0.2422
2022-10-26,86969390.48,9.8574,9.8575,9.8574,0.0229
2022-10-27,85982480.04,9.691,9.6911,9.691,-0.1664
2022-10-28,86410310.01,9.6889,9.689,9.6889,-0.0021
2022-10-31,87177476.2,9.7009,9.701,9.7009,0.012
2022-11-01,88174383.64,9.7089,9.709,9.7089,0.008
2022-11-02,87934607.27,9.5746,9.5747,9.5746,-0.1343
2022-11-03,86092926.75,9.3278,9.3279,9.3278,-0.2468
2022-11-04,86099349.17,9.2521,9.2522,9.2521,-0.0757
2022-11-07,87697789.48,9.3643,9.3644,9.3643,0.1122
2022-11-08,90942080.98,9.6211,9.6212,9.6211,0.2568
2022-11-09,89362731.14,9.3904,9.3905,9.3904,-0.2307
2022-11-10,94467087.53,9.8303,9.8304,9.8303,0.4399
2022-11-14,96856240.48,9.9838,9.9839,9.9838,-0.0029
2022-11-15,99982167.96,10.1319,10.132,10.1319,0.1481
2022-11-16,99050998.73,9.922,9.9221,9.922,-0.2099
2022-11-17,98791127.43,9.8294,9.8295,9.8294,-0.0926
2022-11-18,99411560.35,9.8035,9.8036,9.8035,-0.0259
2022-11-21,100216486.67,9.7402,9.7403,9.7402,-0.0633
2022-11-22,101810992.35,9.765,9.7651,9.765,0.0248
2022-11-23,104158487.3,9.9097,9.9098,9.9097,0.1447
2022-11-25,104869795.37,9.8885,9.8886,9.8885,-0.0514
2022-11-28,105840073.17,9.7624,9.7625,9.7624,-0.1261
2022-11-29,106213782.21,9.6583,9.6584,9.6583,-0.1041
2022-11-30,108295003.88,9.6993,9.6994,9.6993,0.041
2022-12-01,112939510.85,9.9737,9.9738,9.9737,0.2744
2022-12-02,115153703.7,9.9409,9.941,9.9409,-0.0328
2022-12-06,114418514.73,9.716,9.7161,9.716,-0.2249
2022-12-07,116812057.27,9.6208,9.6209,9.6208,-0.0952
2022-12-08,120384084.73,9.7033,9.7034,9.7033,0.0825
2022-12-09,123635213.44,9.778,9.7781,9.778,0.0747
2022-12-13,129169527.49,9.9385,9.9386,9.9385,0.1605
2022-12-14,133832864.32,9.9187,9.9188,9.9187,-0.0198
2022-12-15,132671354.03,9.6172,9.6173,9.6172,-0.3015
2022-12-16,135732627.12,9.4884,9.4885,9.4884,-0.1288
2022-12-19,139489770.73,9.4169,9.417,9.4169,-0.0715
2022-12-20,144869307.48,9.4008,9.4009,9.4008,-0.0161
2022-12-21,152504379.67,9.4845,9.4846,9.4845,0.0837
2022-12-22,155094612.18,9.2901,9.2902,9.2901,-0.1944
2022-12-23,162896592.28,9.3253,9.3254,9.3253,0.0352
2022-12-27,171845252.14,9.3153,9.3154,9.3153,-0.0466
2022-12-28,201776285.27,9.2439,9.244,9.2439,-0.0714
2022-12-29,222982499.87,9.3768,9.3769,9.3768,0.1329
2022-12-30,239391845.08,9.3072,9.3073,9.3072,-0.0696
2023-01-03,255991673.89,9.3328,9.3329,9.3328,0.0256
2023-01-04,259133182.86,9.4372,9.4373,9.4372,0.1044
2023-01-05,256083043.43,9.3267,9.3268,9.3267,-0.1105
2023-01-06,260675994.04,9.4856,9.4857,9.4856,0.1589
2023-01-09,266671043.76,9.6934,9.6935,9.6934,0.2078
2023-01-10,264428660.07,9.6036,9.6037,9.6036,-0.0898
2023-01-11,267080980.36,9.6947,9.6948,9.6947,0.0911
2023-01-12,270310992.93,9.8088,9.8089,9.8088,0.1141
2023-01-13,269693236.9,9.7802,9.7803,9.7802,-0.0286
2023-01-17,271689340.86,9.8499,9.85,9.8499,0.0021
2023-01-18,272070937.49,9.8399,9.84,9.8399,-0.01
2023-01-19,268547288.5,9.7038,9.7039,9.7038,-0.1361
2023-01-20,271921254.64,9.8208,9.8209,9.8208,0.117
2023-01-23,279466292.19,10.0882,10.0883,10.0882,0.2674
2023-01-24,278981229.04,10.0641,10.0642,10.0641,-0.0241
2023-01-25,276267430.47,9.9674,9.9675,9.9674,-0.0967
2023-01-26,280450951.21,10.1098,10.1099,10.1098,0.1424
2023-01-27,284241341.84,10.2367,10.2368,10.2367,0.1269
2023-01-30,282120802.99,10.1392,10.1393,10.1392,-0.0975
2023-01-31,283366928.39,10.1728,10.1729,10.1728,0.0336
2023-02-01,284825925.24,10.2024,10.2025,10.2024,0.0296
2023-02-02,296901642.52,10.6275,10.6276,10.6275,0.4251
2023-02-03,296358331.2,10.6018,10.6019,10.6018,-0.0257
2023-02-06,293332988.02,10.4778,10.4779,10.4778,-0.124
2023-02-07,293657717.35,10.4729,10.473,10.4729,-0.0049
2023-02-08,294382067.29,10.4943,10.4944,10.4943,0.0214
2023-02-09,295589897.84,10.5421,10.5422,10.5421,0.0478
2023-02-10,290815742.16,10.3654,10.3655,10.3654,-0.1767
2023-02-13,293988453.13,10.4674,10.4675,10.4674,0.102
2023-02-14,293356058.04,10.4375,10.4376,10.4375,-0.0299
2023-02-15,297368893.77,10.5753,10.5754,10.5753,0.1378
2023-02-16,298125703.13,10.598,10.5981,10.598,0.0227
2023-02-17,292767004.83,10.4024,10.4025,10.4024,-0.1956
2023-02-21,288996674.71,10.2616,10.2617,10.2616,-0.1515
2023-02-22,287261820.5,10.1983,10.1984,10.1983,-0.0633
2023-02-23,287332202.8,10.189,10.1891,10.189,-0.0093
2023-02-24,285866025.1,10.1353,10.1354,10.1353,-0.0537
2023-02-27,289567337.13,10.2538,10.2539,10.2538,0.1185
2023-02-28,290643368.35,10.2641,10.2642,10.2641,0.0103
2023-03-01,290687600.9,10.2488,10.2489,10.2488,-0.0153
2023-03-02,290384839.21,10.2216,10.2217,10.2216,-0.0272
2023-03-03,296614699.07,10.4321,10.4322,10.4321,0.2105
2023-03-07,294979877.07,10.3561,10.3562,10.3561,-0.076
2023-03-08,297508942.88,10.4274,10.4275,10.4274,0.0713
2023-03-09,297508924.99,10.4244,10.4245,10.4244,-0.003
2023-03-10,291717462.43,10.2153,10.2154,10.2153,-0.2091
2023-03-13,288178486.01,10.0837,10.0838,10.0837,-0.1316
2023-03-14,291703961.56,10.2028,10.2029,10.2028,0.1191
2023-03-15,286675113.41,10.0168,10.0169,10.0168,-0.186
2023-03-16,294676963.89,10.2812,10.2813,10.2812,0.2644
2023-03-17,293563092.56,10.2377,10.2378,10.2377,-0.0435
2023-03-20,293635338.32,10.2346,10.2347,10.2346,-0.0031
2023-03-21,297517309.8,10.3606,10.3607,10.3606,0.126
2023-03-22,299003324.14,10.3991,10.3992,10.3991,0.0385
2023-03-23,300530138.81,10.4403,10.4404,10.4403,0.0412
2023-03-24,296780816.33,10.3056,10.3057,10.3056,-0.1347
2023-03-27,297928309.09,10.3316,10.3317,10.3316,0.026
2023-03-28,298008507.78,10.3137,10.3138,10.3137,-0.0179
