Date,Total NAV,NAV,Sell NAV,Buy NAV,Change
2015-03-06,1023616263.2,9.357,9.3571,9.357,-0.0398
2015-03-09,1012384958.69,9.2285,9.2286,9.2285,-0.1285
2015-03-10,1008111497.49,9.159,9.1591,9.159,-0.0695
2015-03-11,1018656247.3,9.2357,9.2358,9.2357,0.0767
2015-03-12,1015993777.13,9.1964,9.1965,9.1964,-0.0393
2015-03-13,1018317222.87,9.2066,9.2067,9.2066,0.0102
2015-03-16,1021900736.78,9.228,9.2281,9.228,0.0214
2015-03-17,1015808967.8,9.1703,9.1704,9.1703,-0.0577
2015-03-18,1011325649.51,9.1299,9.13,9.1299,-0.0404
2015-03-19,1024873507.53,9.2277,9.2278,9.2277,0.0978
2015-03-20,1030067495.99,9.2653,9.2654,9.2653,0.0376
2015-03-23,1030630180.04,9.2735,9.2736,9.2735,0.0082
2015-03-24,1038401052.68,9.3439,9.344,9.3439,0.0704
2015-03-25,1040975042.18,9.3651,9.3652,9.3651,0.0212
2015-03-26,1057909945.44,9.5199,9.52,9.5199,0.1548
2015-03-27,1047860021.63,9.4283,9.4284,9.4283,-0.0916
2015-03-30,1036791931.15,9.3369,9.337,9.3369,-0.0914
2015-03-31,1028780337.28,9.2596,9.2597,9.2596,-0.0773
2015-04-01,1031004855.64,9.281,9.2811,9.281,0.0214
2015-04-02,1045935854.86,9.4136,9.4137,9.4136,0.1326
2015-04-07,1053655686.19,9.483,9.4831,9.483,0.0649
2015-04-08,1052525041.21,9.4845,9.4846,9.4845,0.0015
2015-04-09,1040267674.35,9.3805,9.3806,9.3805,-0.104
2015-04-10,1046363763.84,9.4347,9.4348,9.4347,0.0542
2015-04-16,1044104391.13,9.4157,9.4158,9.4157,-0.019
2015-04-17,1042901477.68,9.4037,9.4038,9.4037,-0.012
2015-04-20,1041840922.24,9.4008,9.4009,9.4008,-0.0029
2015-04-21,1035996992.61,9.3382,9.3383,9.3382,-0.0626
2015-04-22,1036435887.26,9.3603,9.3604,9.3603,0.0221
2015-04-23,1029441079.07,9.298,9.2981,9.298,-0.0623
2015-04-24,1035024178.97,9.3482,9.3483,9.3482,0.0502
2015-04-27,1032177359.53,9.3219,9.322,9.3219,-0.0263
2015-04-28,1045172246.92,9.4375,9.4376,9.4375,0.1156
2015-04-29,1057742602.46,9.5485,9.5486,9.5485,0.111
2015-04-30,1057194271.85,9.567,9.5671,9.567,0.0185
2015-05-06,1055342738.61,9.5644,9.5645,9.5644,-0.0026
2015-05-07,1053426533.11,9.5476,9.5477,9.5476,-0.0168
2015-05-08,1054960164.4,9.5675,9.5676,9.5675,0.0199
2015-05-11,1057990578.17,9.6138,9.6139,9.6138,0.0463
2015-05-12,1059496661.33,9.6451,9.6452,9.6451,0.0313
2015-05-13,1059008956.08,9.6413,9.6414,9.6413,-0.0038
2015-05-14,1073552727.45,9.7722,9.7723,9.7722,0.1309
2015-05-15,1079215600.77,9.8339,9.834,9.8339,0.0617
2015-05-18,1079407333.79,9.8489,9.849,9.8489,0.015
2015-05-19,1072961242.66,9.8063,9.8064,9.8063,-0.0426
2015-05-20,1066180358.28,9.7476,9.7477,9.7476,-0.0587
2015-05-21,1064598378.66,9.7409,9.741,9.7409,-0.0067
2015-05-22,1063188372.26,9.7243,9.7244,9.7243,-0.0166
2015-05-25,1062834897.58,9.7208,9.7209,9.7208,-0.0035
2015-05-26,1059938392.57,9.6981,9.6982,9.6981,-0.0227
2015-05-27,1056181942.73,9.6636,9.6637,9.6636,-0.0345
2015-05-28,1056779334.27,9.6628,9.6629,9.6628,-0.0008
2015-05-29,1053450498.64,9.6324,9.6325,9.6324,-0.0304
2015-06-02,1055243992.21,9.6466,9.6467,9.6466,0.0142
2015-06-03,1053750194.53,9.6335,9.6336,9.6335,-0.0131
2015-06-04,1049173475.76,9.5944,9.5945,9.5944,-0.0391
2015-06-05,1041450519.73,9.5309,9.531,9.5309,-0.0635
2015-06-08,1043054932.59,9.548,9.5481,9.548,0.0171
2015-06-09,1043751759.89,9.5752,9.5753,9.5752,0.0272
2015-06-10,1042541251.06,9.5851,9.5852,9.5851,0.0099
2015-06-11,1043923415.15,9.5964,9.5965,9.5964,0.0113
2015-06-12,1040699240.33,9.5734,9.5735,9.5734,-0.023
2015-06-15,1040490866.74,9.5649,9.565,9.5649,-0.0085
2015-06-16,1041913806.55,9.5823,9.5824,9.5823,0.0174
2015-06-17,1039134919.27,9.5595,9.5596,9.5595,-0.0228
2015-06-18,1051477112.93,9.6693,9.6694,9.6693,0.1098
2015-06-19,1056208029.6,9.7103,9.7104,9.7103,0.041
2015-06-22,1047945979.41,9.6641,9.6642,9.6641,-0.0462
2015-06-23,1039102827.87,9.5975,9.5976,9.5975,-0.0666
2015-06-24,1034180729.79,9.5518,9.5519,9.5518,-0.0457
2015-06-25,1032710526.87,9.5428,9.5429,9.5428,-0.009
2015-06-26,1036973756.65,9.5643,9.5644,9.5643,0.0215
