Date,Total NAV,NAV,Sell NAV,Buy NAV,Change
2024-10-31,569774439.1,10.3616,10.3617,10.3616,-0.0012
2024-11-01,578059916.13,10.3638,10.3639,10.3638,0.0022
2024-11-04,588600818.3,10.3617,10.3618,10.3617,-0.0021
2024-11-05,598904981.55,10.366,10.3661,10.366,0.0043
2024-11-06,610040710.09,10.3564,10.3565,10.3564,-0.0096
2024-11-07,619044622.58,10.3648,10.3649,10.3648,0.0084
2024-11-08,629701452.18,10.3842,10.3843,10.3842,0.0194
2024-11-11,645356429.46,10.3775,10.3776,10.3775,-0.0067
2024-11-12,657931689.4,10.3812,10.3813,10.3812,0.0037
2024-11-13,669651435.73,10.3777,10.3778,10.3777,-0.0035
2024-11-14,682956601.51,10.3783,10.3784,10.3783,0.0006
2024-11-15,697998445.44,10.3807,10.3808,10.3807,0.0024
2024-11-18,716007759.72,10.3779,10.378,10.3779,-0.0028
2024-11-19,732602666.71,10.3836,10.3837,10.3836,0.0057
2024-11-20,747009691.05,10.3836,10.3837,10.3836,0.0
2024-11-21,760885025.11,10.3851,10.3852,10.3851,0.0015
2024-11-22,776322379.32,10.3879,10.388,10.3879,0.0028
2024-11-25,793925790.43,10.4102,10.4103,10.4102,0.0223
2024-11-26,816899917.82,10.4301,10.4302,10.4301,0.0199
2024-11-27,837024123.8,10.4434,10.4435,10.4434,0.0133
2024-11-28,864025656.69,10.4811,10.4812,10.4811,0.0377
2024-11-29,884245258.69,10.5022,10.5023,10.5022,0.0211
2024-12-02,908725486.48,10.5063,10.5064,10.5063,0.0041
2024-12-03,939250707.36,10.5427,10.5428,10.5427,0.0364
2024-12-04,968775285.15,10.5168,10.5169,10.5168,-0.0259
2024-12-06,1005266131.77,10.5448,10.5449,10.5448,0.028
2024-12-09,1055732089.69,10.5479,10.548,10.5479,0.0031
2024-12-11,1109918640.95,10.538,10.5381,10.538,-0.0099
2024-12-12,1166989076.46,10.5345,10.5346,10.5345,-0.0035
2024-12-13,1216573806.29,10.5332,10.5333,10.5332,-0.0013
2024-12-16,1270732499.6,10.5226,10.5227,10.5226,-0.0106
2024-12-17,1367638205.55,10.5452,10.5453,10.5452,0.0226
2024-12-18,1439644846.32,10.5586,10.5587,10.5586,0.0134
2024-12-19,1513690005.69,10.5552,10.5553,10.5552,-0.0034
2024-12-20,1596284547.58,10.5549,10.555,10.5549,-0.0003
2024-12-23,1693424735.64,10.5749,10.575,10.5749,0.02
2024-12-24,1849091019.85,10.5662,10.5663,10.5662,-0.0087
2024-12-25,2008868612.19,10.5704,10.5705,10.5704,0.0042
2024-12-26,2184383216.12,10.5583,10.5584,10.5583,-0.0121
2024-12-27,2410350354.06,10.5415,10.5416,10.5415,-0.0168
2024-12-30,2697794304.16,10.5097,10.5098,10.5097,-0.0318
2025-01-02,3014635392.88,10.5106,10.5107,10.5106,0.0009
2025-01-03,3025286436.1,10.5194,10.5195,10.5194,0.0088
2025-01-06,3017349776.56,10.4805,10.4806,10.4805,-0.0389
2025-01-07,3021672751.02,10.4825,10.4826,10.4825,0.002
2025-01-08,3022186436.88,10.4782,10.4783,10.4782,-0.0043
2025-01-09,3026093319.34,10.4796,10.4797,10.4796,0.0014
2025-01-10,3022689282.26,10.4597,10.4598,10.4597,-0.0199
2025-01-13,3015165912.46,10.4273,10.4274,10.4273,-0.0324
2025-01-14,3011357991.66,10.4009,10.401,10.4009,-0.0264
2025-01-15,3010165856.52,10.3856,10.3857,10.3856,-0.0153
