Date,Total NAV,NAV,Sell NAV,Buy NAV,Change
2021-05-20,2035869520.49,12.3773,12.3774,12.3773,-0.0132
2021-05-21,2024120827.75,12.3048,12.3049,12.3048,-0.0725
2021-05-24,2020936371.66,12.2818,12.2819,12.2818,-0.023
2021-05-25,2038409951.64,12.384,12.3841,12.384,0.1022
2021-05-27,2063654495.85,12.5328,12.5329,12.5328,0.1488
2021-05-28,2059269546.82,12.501,12.5011,12.501,-0.0318
2021-05-31,2072487012.61,12.5777,12.5778,12.5777,0.0767
2021-06-01,2113581642.63,12.823,12.8231,12.823,0.2453
2021-06-02,2108765287.9,12.7883,12.7884,12.7883,-0.0347
2021-06-04,2103851968.39,12.7554,12.7555,12.7554,-0.0329
2021-06-07,2101424360.01,12.74,12.7401,12.74,-0.0154
2021-06-08,2101524196.12,12.7367,12.7368,12.7367,-0.0033
2021-06-09,2120672555.01,12.8502,12.8503,12.8502,0.1135
2021-06-10,2115827116.6,12.8202,12.8203,12.8202,-0.03
2021-06-11,2131283790.18,12.9109,12.911,12.9109,0.0907
2021-06-14,2129819851.2,12.8989,12.899,12.8989,-0.012
2021-06-15,2113484616.13,12.797,12.7971,12.797,-0.1019
2021-06-16,2122517950.63,12.8488,12.8489,12.8488,0.0518
2021-06-17,2115541341.99,12.8035,12.8036,12.8035,-0.0453
2021-06-18,2105201385.58,12.7393,12.7394,12.7393,-0.0642
2021-06-21,2093785851.26,12.6627,12.6628,12.6627,-0.0766
2021-06-22,2095052182.07,12.6599,12.66,12.6599,-0.0028
2021-06-23,2080510961.61,12.5686,12.5687,12.5686,-0.0913
2021-06-24,2075116718.34,12.5347,12.5348,12.5347,-0.0339
2021-06-25,2068413591.28,12.4856,12.4857,12.4856,-0.0491
2021-06-28,2061116109.1,12.4336,12.4337,12.4336,-0.052
2021-06-29,2067535938.9,12.4604,12.4605,12.4604,0.0268
2021-06-30,2064832287.35,12.439,12.4391,12.439,-0.0214
2021-07-01,2077749952.92,12.5077,12.5078,12.5077,0.0687
2021-07-02,2060739858.18,12.3944,12.3945,12.3944,-0.1133
2021-07-05,2064396507.57,12.4085,12.4086,12.4085,0.0141
2021-07-06,2078210877.79,12.4878,12.4879,12.4878,0.0793
2021-07-07,2059323053.86,12.3724,12.3725,12.3724,-0.1154
2021-07-08,2016781093.62,12.1098,12.1099,12.1098,-0.2626
2021-07-09,2024729146.12,12.131,12.1311,12.131,0.0212
2021-07-12,2025839584.48,12.1249,12.125,12.1249,-0.0061
2021-07-13,2051325137.39,12.2694,12.2695,12.2694,0.1445
2021-07-14,2055684166.32,12.2917,12.2918,12.2917,0.0223
2021-07-15,2045894601.23,12.2293,12.2294,12.2293,-0.0624
2021-07-16,2058016994.77,12.3008,12.3009,12.3008,0.0715
2021-07-19,2034736912.95,12.1582,12.1583,12.1582,-0.1426
2021-07-20,2013453142.78,12.0237,12.0238,12.0237,-0.1345
2021-07-21,2021010603.7,12.0487,12.0488,12.0487,0.025
